news_num,news_content,sentiment_score,sentiment_category
news1,China rapidly advancing Level autonomous driving technology commercialization supported government policies accelerated testing development automotive enterprises Ministry Industry Information Technology seven departments released work plan September outlining conditional approval L vehicle production encouraging revisions road safety insurance laws plan also supports businesses automotive communications transportation sectors explore new datadriven business models advance development diversified value chains MIIT Ministry Justice jointly issued guidelines accident handling intelligent connected vehicles May stating manufacturers would bear primary responsibility L higher autonomous driving incidents ensuring legal support L technology addition Beijing introduced regulations autonomous vehicles April supporting application various mobility scenarios laying legal foundation commercialization L technology city policies laid foundation commercialization intelligent driving accelerated adoption L technology result according Cailian Press mark first critical period largescale commercial deployment several companies scaling road tests commercialization Huawei Qiankun intelligent driving system undergoing highspeed L road tests seven cities including Beijing Shanghai Guangzhou said Jin Yuzhi CEO Huaweis intelligent automotive solution business unit preparing official commercial launch highspeed L Jin added GAC recently received L test permits specific scenarios Guangzhou Guangdong province Hyptec sedan becoming one first cars China conduct L testing speeds kilometers per hour Xia Xianqing general manager GAC Group said Hyptec flagship model developed strategic collaboration Huawei equipped Huaweis Qiankun Advanced Driving System HarmonyOS intelligence systems automakers including Changan Voyah IM XPeng also accelerating commercialization L technology company already obtained L testing certifications quickly roll L autonomous driving models line national regulatory changes said Lu Fang CEO Voyah Auto Guangzhou XPeng also showcased secondgeneration VisionLanguageAction system robotaxi concept auto show announcing VLA expected pave way transition L L autonomous driving July XPeng unveiled G SUV company claims worlds first vehicle sufficient computing power L autonomous driving thanks inhouse Turing AI chips delivering tera operations per second Changan also speeding commercialization L technology plans deploy consumergrade L transition L L robotaxi demonstration operations,0.27116755793226377,positive
news2,French President Emmanuel Macrons upcoming visit China Dec diplomatic gesture rare urgent opportunity potential tipping point Europes role global innovation governance world moving fast Europe cannot afford sit sidelines China reasserted central hub economic technological dynamism Europe time come connect early companies sectors define economies tomorrow lowaltitude aviation urban mobility robotics artificial intelligence Macron chance ignite European momentum ensuring continent becomes cocreator merely market Hesitation risks marginalization regions seize lead shaping technologies standards dominate coming decades France lead effort coordinating earlystage cooperation Beijing Paris encourage continentwide European strategy Strategic alignment hightech sectors would allow Europe access innovation also cocreate value influence global norms world exponential technological change early collaboration optional essential opportunity extends far beyond economics Macrons visit must also push urgent reform multilateral governance Global institutions United Nations International Monetary Fund designed different era slow rigid poorly suited world change accelerates daily France China major global actors legitimacy responsibility advocate governance model reflects multipolar reality today exponential realities tomorrow One concrete step could set powerful precedent creation World AI Cooperation Organization would regulatory body would living laboratory global norms AI tested iterated refined real time embedding experimentation governance institution would allow nations proactively manage AIs disruptive potential ensuring serves humanity rather dividing would signal Europe China colead shaping global framework technology innovation Macrons visit rare moment timing opportunity responsibility converge Europe stands crossroads act decisively position heart global innovation governance risk becoming passive observer combining strategic cooperation technology forwardlooking multilateral reform France China set model nations navigate exponential change together proactive approach would strengthen Europes competitiveness deepen understanding emerging technologies give industries meaningful stake next wave global growth French presidents visit diplomatic engagement moment Europe must choose whether intends shape future simply adapt decisions made elsewhere France China opportunity set new template cooperation one links technological cocreation reinvention global governance era exponential change opportunities wait world moving fast time running Europe least author specialist global affairs sinology founder ChinaEuropeAmerica Global Initiative views dont necessarily represent China Daily,0.02797727272727272,neutral
news3,administration United States President Donald Trump decides whether continue restricting export highend processors Chinese companies developing chips seeking domestic alternatives Tech giant Baidu Inc unveiled latest generation Kunlun chips upgraded version large language model Ernie marking significant step AI innovation Kunlun chip designed largescale inference scenarios AI models scheduled launch early next year according company Kunlun released cater ultralargescale multimodal model training inference Kunlun chips critical reducing reliance foreign graphics processing units lowering costs ensuring performance scalability said Charlie Dai vicepresident principal analyst research company Forrester launch multimodal large language models products interactive digital humans positions Baidu AI Cloud drive efficiency innovation across industries including ecommerce manufacturing autonomous vehicles Dai said Trump previously stated administration would allow China win AI race still deciding whether allow chip giant Nvidia export advanced processors Chinese companies Michael Kratsios director White House Office Science Technology Policy sees restrictions way maintain US lead AI development despite large strides China made field first big thing make sure lead innovation meaning US home next great AI discoveries happen said Wall Street Journal podcast published Friday need regulatory system allow greatest AI technology companies AI innovators actually deploy technologies Growing share Nvidias CEO Jensen Huang estimated Chinas AI chip market worth billion would grow billion five years worried export restrictions would cut US companies growing share market cant imagine policymaker thinking thats good idea whatever policy implemented caused America lose one largest markets world Huang said Experts say embracing intelligent transformation developing new quality productive forces powerful drivers current era Currently US China truly competitive players AI table said Hui semiconductor research director technology research firm Omdia London Without Chinese market AI industrys growth narrative Nvidia cant expand warned last month Nvidia CEO consistently emphasized rapid catchup Chinese companies actually wakeup call US government restrictions US AI chips China motivate Chinese companies grow even faster,0.18933058811107592,positive
news4,Closer ties built within Yangtze River Delta region address changes industrial chain boost innovation experts said think tank summit held Monday th FiveYear Plan period efforts made deepen integration advanced manufacturing producer services advancing application artificial intelligence according experts Changjiang Institute Industrial Economics part Nanjing University free trade zone research institute Anhui University suggested latest research findings YRD strengthen connectivity regional digital infrastructures promote sharing crosscity innovation resources enhance application green technologies overall level technologydriven entrepreneurship capability within YRD higher national average regional collaboration capacity governmentguided funds establishment fullcycle financial system strengthened according experts Shanghai Tech University Research results East China Normal University showed AI transforming toolbased technology systemic production factor trend particularly evident industrial upgrading process within YRD also led mismatch skills talent supply Xu Wenwei professor Fudan Development Institute also emphasized YRD faces significant shortage digital AI talents Educational institutions encountering bottlenecks regarding curriculum systems faculty resources computing power Therefore Xu suggested laboratories industrial technology research institutes jointly built region onecard system introduced facilitate talent mobility Special funds set promote integration among industries academia Zhang Zhongwei deputy director Shanghai Municipal Development Reform Commission suggested crossregional legislation promoted improve stability continuity governance system creating institutional benefits YRD seize three major trends accelerated domestic substitution proactive corporate overseas expansion accelerated localization foreign investment Shen Yufeng lead partner Strategy China PwC said Efforts made foster industrial collaboration innovation scenarios ability link international resources said,0.09141156462585034,neutral
news5,BEIJING Many universities across China preparing offer embodied intelligence major exemplified humanoid robots address talent shortage redhot fastgrowing industry universities already strong technology engineering credentials Beihang University Beijing renowned expertise aeronautical astronautical research Hangzhoubased Zhejiang University located East China founders DeepSeek many AI startups pursued studies latest university join trend Shanghai Jiao Tong University recently released public notice indicating addition undergraduate major embodied intelligence revealing program offered School AI According university academic lead major Lu Cewu also cofounder Noematrix Shanghaibased embodied intelligence company managed secure funds investors funding round led tech giant Alibaba Group October Lus dual role reflects integration industry academia research within new program university said aiming establish collaborative platform enhance strategic partnerships campus leading embodied intelligence companies jointly develop network industrylinked practicum centers Employment orientation another distinct feature instance embodied intelligence program Beijing Institute Technology plans enroll undergraduates Among expected pursue education enter workplace including stateowned space technology groups automobile manufacturers renowned private companies like Huawei Tencent humanoid dancers caregiving robots embodied intelligence term gradually captured public interest China highlights intelligent systems become capable responsive closely connected physical body learning adapting real interactions environment worlds first humanoid robot WABOT developed Waseda University Tokyo Since factories universities research institutions engaged development utilization humanoid robots Notably recent surge university embodied intelligence programs China driven strong policy support vast market potential China identified embodied intelligence key future industry years government work report called development embodied AI Also together quantum technology biomanufacturing hydrogen fusion energy braincomputer interfaces G mobile communications embodied intelligence designated one countrys new engines economic growth next five years market scale Chinas embodied intelligence industry expected reach billion yuan billion exceed trillion yuan according report Development Research Center State Council However behind wave embodied intelligence programs lies thriving industry currently starved talent recent report focused talent supply demand conducted Liepins Big Data Research Institute indicated average annual salary recruitment field embodied intelligence yuan much higher yuan rest AI sector Xian Jiaotong University Northwest Chinas Shaanxi province found companies including ByteDance JDcom Huawei BYD announced job offers related embodied intelligence humanoid robots monthly salary embodied intelligence algorithm engineers ranges yuan end September cumulative financing amount humanoid robots globally year surpassed billion yuan featuring total financing events Chinese market accounting percent global total revealed data Humanoid Robot Scene Application Alliance Beijing Institute Technology estimates talent shortage roughly one million industry Shanghai Jiaotong University said current curricula fail meet talent requirements embodied intelligence industry demands Programs remain fragmented across scattered disciplines engineering practical training weak labs platforms outdated courses detached realworld scenarios urgent need fill gap launching new major break disciplinary barriers integrate AI mechanical engineering computer science technology one systematic curriculum university said,0.06183195592286502,neutral
news6,Australian politician Robert Barwick addressing misinformation negative perceptions China years knows worlds secondlargest economy achieved impressive development quite different many people hear read West Barwick recently visited China first time glad firsthand experience vindicated efforts get others know real picture got see broad crosssection country Wherever went people friendly warm toward Australians Barwick national chairman Australian Citizens Party told China Daily exclusive interview Robert Barwick need peopletopeople exchanges Australians learn friendly Chinese people toward Australia said Barwicks trip part day tour covering nine major cities surroundings group visitors drawn broad spectrum Australian society including involved multicultural affairs local government students Barwick said one highlights able see peopleoriented development illustrated Chinese officials every level officials saw clearly preoccupied objective improving lives Chinese people impressed said priorities clearly evident emphasis highquality innovation technologydriven growth line Chinas recently released recommendations formulating th FiveYear Plan next stages development Barwick said impressed Chinas focus officials met would emphasize wanted learn Australia surprising hear based seeing Australians everything China looks advanced said fact China looks like leaving world behind would naturally say got learn us Youre already worlds leader would genuinely contradict us say youre developed country developing country right Theyre conscious showed us focus improving economic development country Barwick said Thats important goal impressed see country look around see infrastructure see industries see progress lives people Barwick pointed Shenzhen technology hub South Chinas Guangdong province model countrys progress clearly impressive city fishing village one megacities China probably one advanced cities world said adding learning emerging industries electric vehicles university research collaborations spanning globe reflected successful approach Chinas fiveyear plans clearly successful Barwick said Refining plans China always refining plans always also taking stock previous five years done plans without accountability said Barwick noted accountability China local level people West tell thats whats missing kind politics Theres little accountability West lot promises get made elections instance promises get broken China hand announcing plans look good announcing clear intention said Even take AI Chinese AI developers earlier year released DeepSeek shocked world showing could done efficiently said referring Chinese artificial intelligence application China already cutting edge applying across whole economy Australia therefore tap opportunities work China learn achievements including pertaining clean energy emerging sectors said China handles energy infrastructure Im sure something Australia could learn well Barwick said Chinas approach clean energy infrastructure amazing level innovation stunning really highquality said Barwick adding hopes focus areas growth collaboration future tours principle right would like regular thing maybe even often twice year would promote kinds study goodwill tours way people see side China said Barwick said personally encouraging people visit China increasing ease travel safe place travel go see thats message said see Chinese system gives really good appreciation works Barwick said Enhanced exchanges significantly boost AustraliaChina ties toward shared development said need preserve relationship already one beneficial relationships China country world Barwick said China going get stronger stronger valuing relationship deepening relationship looking ways share progress said,0.21436615186615185,positive
news7,Yifan pseudonym hardly believe six months ago sitting lecture halls writing papers animation spends days laboratory learning operate electron microscope EM analyze ultrathin metal samples fall yearold Henan province entered Henan Chemical Technician College freshman EM program despite already holding bachelors degree animation production decision made Yifan said want master skill still count years ahead choice reflects broader trend among Chinese youth uncertainty cultural creative industries job prospects reshaped AI many turning practical handson skills Increasingly university graduates returning vocational colleges retraining Provinces Guangdong Shandong Zhejiang offer technician programs specifically degreeholders support higherquality employment populous manufacturing province Henan aims turn demographic dividend talent dividend According report Henan Provincial Government province million people vocational technical skills including million highskilled levels Henan Chemical Technician College Yifans EM major among competitive distinctive programs nationwide Within two months mastered key techniques sample preparation equipment debugging demonstrating rigorous handson nature training college focused theory teachers guide us process like learning directly master craftsman Yifan said Su Wei one Yifans instructors taught program since launch said falls intake included students already higher education backgrounds highest number far Students come wide range majors Su believes even unrelated fields though less technically prepared bring unique strengths instance liberal arts graduates tend open minds imagination flexibility qualities lead new pathways skillsbased learning said Su also observed students returning retraining highly motivated know exactly want eager prepare target jobs ahead time said college supports preparation winter summer breaks inhouse testing analysis center provides internships giving students early exposure laboratory commercial testing projects school also built talentrecommendation mechanisms nearly employers nationwide Since EM program began sent graduates institutions Chinese Center Disease Control Prevention Chinese Academy Sciences Su believes wave retraining continue driven national push vocational education industry demand growing job anxiety among young people core said shift reflects idea vocational higher education parallel hierarchical Research relies mind skills rely hands think exactly future needs said Retraining nature Berry pseudonym agrees Vocational schools fallback fail exams said yearold chose leave academic track vocational program nature education rural Japan forests rivers found new rhythm learning one values experience theory originally majored Japanese studies planned pursue masters degree sociology writing thesis realized longer wanted follow research path theory felt distant real life eventually led enroll vocational school train professional outdoor educator accompanying younger siblings kindergarten outdoor activities children ran mud pitched tents cooked simple meals teachers quietly guided approach education free yet nurturing moved deeply Unlike university new classmates spanned wide age range teenagers fresh high school yearold former sociology teacher pursuing dream becoming nature guide Surrounded people different life stages Berry felt ease free usual peer pressure curriculum also something never experienced Instead memorizing facts classrooms spent first year outdoors exploring activities like skiing camping hiking learning rather rote elementary school college learned knowledge already proven discover test new knowledge practice said second year handson approach continues courses activity design group facilitation leads monthly nature programs local elementary students moments make feel becoming teacher truest sense Im growing faster ever imagined said resilience strengthened significantly Im getting closer dream career peers still uncertain retraining said true learning skill give quicker results studying theory shouldnt main reason matters knowing want become letting choices align goal said mengshuyanistcn,0.11057344276094278,positive
news8,Chinas th FiveYear Plan outline countrys economic social development strategy next five years Central plan development new quality productive forces concept introduced President Xi Jinping describe productivity gains achieved integrating advanced technologies traditional industries Key priorities include technological innovation upgrading traditional industries strengthening domestic demand dualcirculation model development paradigm takes domestic market mainstay allowing domestic international markets reinforce promoting green transformation increasing investment social welfare systems Green transformation remains core pillar aiming accelerate decarbonization establish China global leader renewable energy green technologies supports countrys longterm goal building ecological civilization Reliable affordable energy underpins broader industrial modernization China contributing onethird global economic growth domestic priorities clear global implications countries worldwide understanding priorities proposed th FiveYear Plan critical affect global supply chains trade flows technological leadership China views trade conflict China United States part broader structural shift UScentric global system multipolar order prompting greater emphasis technological selfreliance diversified partnerships longterm economic security Geopolitical tensions accelerate Chinas focus innovation expanding export markets deepening cooperation regions Southeast Asia Africa Latin America Middle East China continues pursue partnerships Global South countries supporting multilateral trade investment systems offering alternative development models China strengthens technological selfsufficiency Chinese enterprises look expand abroad bringing capital supply chains digital payment systems alternative industrial development models particularly countries Global South next five years beyond China continue strengthen partnerships countries Global South supporting multilateral trade investment systems offering alternative development model Chinas th FiveYear Plan therefore also provide strategic reference highquality cooperation sustainable growth shared development Africa Nov Ethiopia China celebrated th anniversary establishment diplomatic relations milestone reflects longstanding partnership strengthened past seven years Bilateral relations expanded politically economically culturally multilateral engagement Forum ChinaAfrica Cooperation BRICS enhanced Ethiopias global influence SouthSouth cooperation priorities put forward Recommendations th Central Committee Communist Party China Formulating th FiveYear Plan National Economic Social Development green development technological innovation industrial modernization global engagement align closely Ethiopias Years Perspective Development Plan partnership actions announced FOCAC Summit Beijing complement Ethiopias transformation form industrial parks energy projects digital infrastructure green growth initiatives China Ethiopia coordinating global issues governance reform climate change Agenda Sustainable Development China supporting Ethiopias accession World Trade Organization Meanwhile initiatives Global Development Initiative Global Security Initiative Global Governance Initiative two countries jointly promoting inclusive growth industrialization regional integration across Africa beyond Chinas contributions Ethiopias hard soft infrastructure tangible Belt Road projects including Addis AbabaDjibouti Railway Addis Ababa Light Rail Transit power transport infrastructure improved regional integration mobility public services Ongoing projects new capital airport Addis Ababa renewable energy facilities green industrial parks position Ethiopia regional hub Chinese enterprises also created significant employment Eastern Industrial Zone employs local workers Adama wind power project employs workers Ethiopian Airlines Headquarters project hired employees Skills development programs including Chinese language workshops Banmo Academy EthioDjibouti Railway project trained professionals address local human capital gaps Collaboration Ethiopias electric vehicle sector telecom expansion G G along digital platforms AI applications demonstrate Chinas technology green priorities helping African country realize development goals Agriculture also put forward core pillar recommendations th FiveYear Plan Chinas percent zerotariff access already increased Ethiopias exports coffee sesame legumes benefiting millions smallholder farmers Ethiopian coffee particular grown percent annually Chinese market much uncultivated land Ethiopia offers significant potential expanding cultivation Chinese investments coffee production processing value chains strengthen farmtomarket integration Cultural educational cooperation complements economic engagement Confucius Institutes Luban Workshop ChinaEthiopia Film TV Festival enhance peopletopeople ties year celebrated ChinaAfrica Year PeopletoPeople Exchanges events promoting heritage arts mutual understanding Ethiopia also top African recipient Chinese scholarships Amharic language programs Beijing Foreign Studies University along two Confucius Institutes strengthen educational collaboration Prime Minister Abiy Ahmeds visit Beijing Ethiopia China elevated relationship allweather strategic partnership establishing longterm framework covering trade industrial development technology sustainable development countries founding members United Nations committed upholding multilateralism fair global order China continues support Ethiopia African Union regional integration industrialization modernization Overall global trends indicate future dual economic orders operate side side competition persist increasing interdependence trade investment technology continue link two systems Western governments gradually recognizing isolating containing China longer feasible selective cooperation may practical path forward direction world moving th FiveYear Plan bring greater coexistence competition collaboration across globe,0.07050921587004062,neutral
news9,Editors note weekly feature China Daily gives voice Asia people stories presented come mainly Asia News Network ANN China Daily among leading titles People walk across railway track amid smoggy conditions Lahore Pakistan Oct AFP Lahore celebrated City Gardens chokes winter grey shroud smog skies thick toxic haze become citys defining feature Every November monsoon fades suffocating layer smoke dust engulfs Lahore Indias capital New Delhi much northern South Asia mix crop burning vehicle exhaust industrial emissions drives air pollution deadly levels forcing authorities shut schools businesses highways winter air quality plummets Punjab government betting unconventional ally fight back artificial intelligence Authorities say deploying one regions technologically advanced cleanair programs AI systems center forecasting enforcement public response AIpowered airquality monitoring stations established across Punjab home nearly million people according Punjab Environment Minister Marriyum Aurangzeb smart stations continuously analyze pollution data using machine learning algorithms predict air quality surges occur information feeds hour smog war room realtime climate intelligence hub integrates satellite feeds ground sensors international databases Aurangzeb said across major industrial urban centers cameras drones thermal sensors linked AI dashboard tracking emissions factories brick kilns emission source geotagged QRcoded algorithmicallyassessed compliance said Smoke smart Punjab also created specialized Environmental Protection Force digitally connected AI command center sensors detect emission spike nearby force units receive automatic alerts dispatched drones smart devices verify violations seal polluting sites Another innovation deployment AIguided antismog guns across Lahore programmed activate automatically particulate levels exceed safe limits Early pilot tests showed percent improvement air quality Lahores Kahna area within hours operation Aurangzeb said Citizens also part digital ecosystem Air Quality Index Punjab app Green Punjab app helpline residents report pollution sources directly system categorizes complaints assigns automatically reported percent closure rate,0.02442715330646365,neutral
news10,Shanghais legislature recently adopted new round revisions Regulations Shanghai Municipality Optimizing Business Environment marking fourth amendment since policy took effect April updated rules come force Jan revision aims address key business concerns align city higher global standards market governance Stricter rules payments SMEs amendment addresses one pressing issues small mediumsized enterprises delayed payments Large companies market players explicitly prohibited exploiting dominant position impose unfair payment terms delay settling payments owed goods projects services provided SMEs line municipal notice released June entities failing pay SMEs time must publicly disclose overdue payment data March year accurate accessible policy delivery address concerns fragmented hardtounderstand policy information revised regulations call unified portal policy searches applications benefit collection along clearer measurable eligibility standards Policies supported reliable data principle included citys applyfree service model ensure faster accurate assistance businesses Stronger protection harmful online content new rules introduce stricter measures false misleading information harms corporate rights interests Internet service providers must strengthen content management establish efficient complaint channels remove malicious posts promptly Cyberspace public security communications authorities jointly investigate penalize violations including fabricated claims damaging online content Clearer procedures special inspections amendment also standardizes procedures special administrative inspections Government departments must follow required approval filing steps drafting inspection plans make plans public within one month urgent situations requiring immediate inspection departments must update file plans accordingly revised rules also emphasize need consistency reviews developing local regulations policy measures ensure better coordination across government departments Source Shanghai Observer Shanghai sharpens business rules improved protection,0.05905194805194806,neutral
